Date : 2024-07-27 23:08:51
Directory : /Users/jamesweigand/Documents/msfl
Total : 203 files,  53540 codes, 1527 comments, 2668 blanks, all 57735 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/jamesweigand/Documents/msfl/build/CMakeFiles/NightlyUpdate.dir/compiler_depend.ts                                  | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/jamesweigand/Documents/msfl/build/CMakeFiles/msfl.dir/DependInfo.cmake                                             | CMake              |         34 |          0 |          7 |         41 |
| /Users/jamesweigand/Documents/msfl/build/CMakeFiles/msfl.dir/cmake_clean.cmake                                            | CMake              |         44 |          0 |          2 |         46 |
| /Users/jamesweigand/Documents/msfl/build/CMakeFiles/msfl.dir/compiler_depend.ts                                           | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/jamesweigand/Documents/msfl/build/CTestTestfile.cmake                                                              | CMake              |          6 |          0 |          1 |          7 |
| /Users/jamesweigand/Documents/msfl/build/Makefile                                                                         | Makefile           |        596 |        213 |        235 |      1,044 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240709-2327/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240710-0153/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240711-0237/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240713-0304/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240714-0028/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240715-0322/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240716-0337/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240717-0219/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240718-2056/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240719-0246/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/20240721-1610/Test.xml                                                   | XML                |         34 |          0 |          1 |         35 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240709-2327.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240710-0153.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240711-0237.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240713-0304.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240714-0028.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240715-0322.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240716-0337.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240717-0219.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240718-2056.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240719-0246.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/Testing/Temporary/LastTest_20240721-1610.log                                     | Log                |          3 |          0 |          1 |          4 |
| /Users/jamesweigand/Documents/msfl/build/cmake_install.cmake                                                              | CMake              |         42 |          0 |          8 |         50 |
| /Users/jamesweigand/Documents/msfl/build/compile_commands.json                                                            | JSON               |        110 |          0 |          0 |        110 |
| /Users/jamesweigand/Documents/msfl/debug_tools/bezierIntersection.html                                                    | HTML               |          7 |          0 |          0 |          7 |
| /Users/jamesweigand/Documents/msfl/debug_tools/bi.js                                                                      | JavaScript         |        151 |          7 |         43 |        201 |
| /Users/jamesweigand/Documents/msfl/msfl.code-workspace                                                                    | JSON with Comments |         70 |          0 |          0 |         70 |
| /Users/jamesweigand/Documents/msfl/oldmain.cpp                                                                            | C++                |          4 |          0 |          2 |          6 |
| /Users/jamesweigand/Documents/msfl/src/BinUtility.cpp                                                                     | C++                |          9 |          0 |          3 |         12 |
| /Users/jamesweigand/Documents/msfl/src/BinUtility.h                                                                       | C++                |          6 |          0 |          2 |          8 |
| /Users/jamesweigand/Documents/msfl/src/ByteStream.cpp                                                                     | C++                |        195 |          2 |         37 |        234 |
| /Users/jamesweigand/Documents/msfl/src/ByteStream.hpp                                                                     | C++                |         66 |          0 |          3 |         69 |
| /Users/jamesweigand/Documents/msfl/src/FileWriter.cpp                                                                     | C++                |         64 |          0 |         25 |         89 |
| /Users/jamesweigand/Documents/msfl/src/FileWriter.h                                                                       | C++                |         13 |          0 |          2 |         15 |
| /Users/jamesweigand/Documents/msfl/src/RawBytes.cpp                                                                       | C++                |         15 |          1 |          3 |         19 |
| /Users/jamesweigand/Documents/msfl/src/RawBytes.hpp                                                                       | C++                |         18 |          1 |          2 |         21 |
| /Users/jamesweigand/Documents/msfl/src/asset.cpp                                                                          | C++                |        397 |         83 |        128 |        608 |
| /Users/jamesweigand/Documents/msfl/src/asset.hpp                                                                          | C++                |         81 |         16 |          7 |        104 |
| /Users/jamesweigand/Documents/msfl/src/balloon.cpp                                                                        | C++                |      1,371 |        371 |        455 |      2,197 |
| /Users/jamesweigand/Documents/msfl/src/balloon.hpp                                                                        | C++                |        123 |         42 |         18 |        183 |
| /Users/jamesweigand/Documents/msfl/src/bitmap.cpp                                                                         | C++                |         40 |          2 |         15 |         57 |
| /Users/jamesweigand/Documents/msfl/src/bitmap.hpp                                                                         | C++                |         25 |          0 |          3 |         28 |
| /Users/jamesweigand/Documents/msfl/src/bitmapRender.cpp                                                                   | C++                |         52 |          3 |         13 |         68 |
| /Users/jamesweigand/Documents/msfl/src/bitmapRender.hpp                                                                   | C++                |         15 |          9 |          2 |         26 |
| /Users/jamesweigand/Documents/msfl/src/cfgParse.cpp                                                                       | C++                |        342 |         67 |        124 |        533 |
| /Users/jamesweigand/Documents/msfl/src/cfgParse.hpp                                                                       | C++                |         58 |         13 |          9 |         80 |
| /Users/jamesweigand/Documents/msfl/src/jparse.cpp                                                                         | C++                |        465 |         75 |         85 |        625 |
| /Users/jamesweigand/Documents/msfl/src/jparse.hpp                                                                         | C++                |         59 |          6 |         13 |         78 |
| /Users/jamesweigand/Documents/msfl/src/main.cpp                                                                           | C++                |        107 |         39 |         27 |        173 |
| /Users/jamesweigand/Documents/msfl/src/mcrpyt.hpp                                                                         | C++                |          0 |          0 |          1 |          1 |
| /Users/jamesweigand/Documents/msfl/src/msfl.hpp                                                                           | C++                |          8 |         32 |          4 |         44 |
| /Users/jamesweigand/Documents/msfl/src/msutil.hpp                                                                         | C++                |         23 |          0 |          6 |         29 |
| /Users/jamesweigand/Documents/msfl/src/pak.cpp                                                                            | C++                |        548 |        154 |        199 |        901 |
| /Users/jamesweigand/Documents/msfl/src/pak.hpp                                                                            | C++                |         58 |         10 |         15 |         83 |
| /Users/jamesweigand/Documents/msfl/src/png.cpp                                                                            | C++                |         57 |          6 |         20 |         83 |
| /Users/jamesweigand/Documents/msfl/src/png.hpp                                                                            | C++                |         20 |          0 |          2 |         22 |
| /Users/jamesweigand/Documents/msfl/src/ptrconverter.hpp                                                                   | C++                |         11 |          0 |          3 |         14 |
| /Users/jamesweigand/Documents/msfl/src/test.json                                                                          | JSON               |     38,227 |          0 |          1 |     38,228 |
| /Users/jamesweigand/Documents/msfl/src/ttf.cpp                                                                            | C++                |        309 |         86 |         98 |        493 |
| /Users/jamesweigand/Documents/msfl/src/ttf.hpp                                                                            | C++                |         94 |         10 |         11 |        115 |
| /Users/jamesweigand/Documents/msfl/src/ttfRender.cpp                                                                      | C++                |        233 |         66 |         69 |        368 |
| /Users/jamesweigand/Documents/msfl/src/ttfRender.hpp                                                                      | C++                |          7 |          0 |          1 |          8 |
| /Users/jamesweigand/Documents/msfl/src/wav.hpp                                                                            | C++                |          3 |          0 |          2 |          5 |
| /Users/jamesweigand/Documents/msfl/src/xml.cpp                                                                            | C++                |        584 |         69 |        134 |        787 |
| /Users/jamesweigand/Documents/msfl/src/xml.hpp                                                                            | C++                |         85 |          8 |         15 |        108 |
| /Users/jamesweigand/Documents/msfl/src/yaml.cpp                                                                           | C++                |          0 |          0 |          1 |          1 |
| /Users/jamesweigand/Documents/msfl/src/yaml.hpp                                                                           | C++                |          1 |          0 |          1 |          2 |
| /Users/jamesweigand/Documents/msfl/src/zip.cpp                                                                            | C++                |          0 |          0 |          1 |          1 |
| /Users/jamesweigand/Documents/msfl/src/zip.h                                                                              | C++                |          1 |          9 |          0 |         10 |
| Total                                                                                                                     |                    |     53,540 |      1,527 |      2,668 |     57,735 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
